text_code	text
page_title	Jordi Rocafort - À Propos
section_profile_title	Un profil scientifique et technique
profile_p1	Passionné par les <strong>sciences dures</strong> (physique, aérospatiale) autant que par l'informatique, j'ai choisi cette voie afin de <strong>comprendre le fonctionnement interne</strong> des machines, concevoir des outils de simulation, et non pas uniquement créer des interfaces graphiques.
profile_p2	Mon approche du développement est guidée par la curiosité et la rigueur scientifique : je cherche à savoir ce qui se passe "sous le capot". Plutôt que d'utiliser des boîtes noires, je préfère souvent réimplémenter des concepts techniques (comme dans mes projets personnels) pour en maîtriser les mécanismes, de la gestion de la mémoire aux algorithmes mathématiques complexes.
section_path_title	Mon Parcours
path_p1	Mon cursus a débuté par un <strong>Bac STI2D option SIN</strong>, qui a confirmé mon attrait pour la technique et m'a apporté des bases en électronique et en conception durable. J'ai ensuite intégré le <strong>BUT Informatique</strong> à Montpellier en choisissant spécifiquement le parcours <strong>DACS</strong> (Déploiement d'Applications Communicantes et Sécurisées).
path_p2	Ce choix est stratégique : contrairement aux parcours orientés web, le parcours DACS se concentre sur les contraintes réelles des systèmes, le réseau et la sécurité, des domaines cruciaux pour l'informatique critique.
path_p3	Cependant, je considère que ma véritable formation se fait aussi en <strong>autodidacte</strong>. Codant depuis 2018 (Python, puis C), c'est à travers mes projets personnels que j'ai acquis ma logique technique et ma capacité de recherche. L'IUT m'apporte aujourd'hui le cadre professionnel indispensable : qualité logicielle, gestion de projet et travail en équipe.
section_project_title	Projet Professionnel à long terme
project_p1	À l'issue de mon BUT, j'envisage de poursuivre mes études (Master) ou de m'insérer dans la vie active, selon les opportunités techniques qui se présenteront. Une chose est sûre, je privilégie la <strong>technique opérationnelle</strong> au management pur. Je veux garder majoritairement dans mes futurs postes une partie technique plus que de la gestion managériale sans pour autant écarter le travail en équipe, comme le montrent mes projets académiques.
project_p2	Mon objectif est de devenir développeur dans le secteur <strong>Aérospatial / Spatial</strong>. Je souhaite contribuer au développement de codes critiques, que ce soit pour le traitement de données scientifiques, les protocoles de communication sol-sondes, ou l'informatique embarquée à bord de satellites. La rigueur et la fiabilité demandées par ce secteur correspondent parfaitement à ma vision de l'informatique.
section_passions_title	Mes passions
passion_astro_title	Astronomie
passion_astro_desc	Observation, mécanique céleste et suivi de l'exploration spatiale. Cette passion nourrit directement mes projets informatiques (ex: TLE-Decoder).
passion_science_title	Sciences
passion_science_desc	Curiosité pour la physique fondamentale et les systèmes complexes. J'aime lier mathématiques et programmation.
passion_lowlevel_title	Bas Niveau
passion_lowlevel_desc	Intérêt marqué pour le fonctionnement des OS, la gestion mémoire (C) et l'architecture des ordinateurs.
section_timeline_title	Les étapes clés
timeline_2018	Découverte de la programmation (Python) et premiers projets personnels.
timeline_2021	Obtention du <strong>BIA</strong> (Brevet d'Initiation Aéronautique) - Mention Très Bien.
timeline_2024	Bac STI2D (Mention TB) et entrée en BUT Informatique.
timeline_2025	Première Game Jam et développement de projets techniques avancés (C).
section_tools_title	Boîte à outils technique
tools_core_title	Cœur de métier
tools_core_desc	Développement système, structures de données, algorithmique complexe.
tools_sys_title	Système & DevOps
tools_sys_desc	Environnement de travail quotidien. Automatisation et gestion de versions.
tools_web_title	Web & Données
tools_web_desc	Outils nécessaires pour le déploiement d'applications complètes.
section_inspo_title	Inspirations
quote_kepler	"Ubi materia, ibi geometria."
quote_kepler_desc	Un rappel que les mathématiques sont le langage fondamental de l'univers physique.
quote_feynman1	"For a successful technology, reality must take precedence over public relations, for nature cannot be fooled."
quote_feynman1_desc	Rapport de la commission Rogers (Challenger), une leçon d'humilité et de rigueur technique.
quote_feynman2	"What I cannot create, I do not understand."
quote_feynman2_desc	Retrouvée sur son tableau noir à sa mort. Une maxime qui rappelle que la théorie ne vaut rien sans la pratique.
quote_sagan	"Somewhere, something incredible is waiting to be known."
quote_sagan_desc	La curiosité scientifique comme moteur de l'exploration.
btn_download_cv	Télécharger mon CV
